[INFO  ] [18:06:38.283761] <                    > fastchess --- fastchess alpha 1.5.0 compiled for macos-latest 20250921-5c6d1bc (CI) 
[INFO  ] [18:06:38.284142] <                    > fastchess --- Setting seed to: 5938664303847077188
[INFO  ] [18:06:38.359943] <                    > fastchess --- Indexing opening suite...

[INFO  ] [18:06:38.361085] <                    > fastchess --- Starting tournament...
[Engine] [18:06:38.894919] <         0x16bbcb000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/fastchess-mac-arm64/stash-bot-v10/stash-bot ---> option name Clear Hash type button
[Engine] [18:06:38.894949] <         0x16bbcb000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/fastchess-mac-arm64/stash-bot-v10/stash-bot ---> option name MultiPV type spin default 1 min 1 max 16
[Engine] [18:06:38.894961] <         0x16bbcb000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/fastchess-mac-arm64/stash-bot-v10/stash-bot ---> option name Minimum Thinking Time type spin default 20 min 0 max 30000
[Engine] [18:06:38.894973] <         0x16bbcb000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/fastchess-mac-arm64/stash-bot-v10/stash-bot ---> option name Move Overhead type spin default 20 min 0 max 1000
[Engine] [18:06:38.894984] <         0x16bbcb000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/fastchess-mac-arm64/stash-bot-v10/stash-bot ---> option name UCI_Chess960 type check default false
[Engine] [18:06:38.894994] <         0x16bbcb000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/fastchess-mac-arm64/stash-bot-v10/stash-bot ---> uciok
[Engine] [18:06:38.895021] <         0x16bbcb000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/versions/v10_build/chess_engine_v10 <--- ucinewgame
[Engine] [18:06:38.895043] <         0x16bbcb000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/versions/v10_build/chess_engine_v10 <--- isready
[Engine] [18:06:38.895360] <         0x16bc57000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/versions/v10_build/chess_engine_v10 <--- uci
[Engine] [18:06:38.896800] <         0x16bab3000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/versions/v10_build/chess_engine_v10 ---> id name ChessEngine v2.0
[Engine] [18:06:38.896827] <         0x16bab3000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/versions/v10_build/chess_engine_v10 ---> id author Fascix
[Engine] [18:06:38.896836] <         0x16bab3000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/versions/v10_build/chess_engine_v10 ---> option name Hash type spin default 16 min 1 max 1024
[Engine] [18:06:38.896843] <         0x16bab3000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/versions/v10_build/chess_engine_v10 ---> option name Ponder type check default false
[Engine] [18:06:38.896849] <         0x16bab3000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/versions/v10_build/chess_engine_v10 ---> option name OwnBook type check default false
[Engine] [18:06:38.896855] <         0x16bab3000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/versions/v10_build/chess_engine_v10 ---> option name UCI_AnalyseMode type check default false
[Engine] [18:06:38.896861] <         0x16bab3000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/versions/v10_build/chess_engine_v10 ---> uciok
[Engine] [18:06:38.896877] <         0x16bab3000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/fastchess-mac-arm64/stash-bot-v10/stash-bot <--- ucinewgame
